,4.0 out of 5 stars,5.0 out of 5 stars,3.0 out of 5 stars,1.0 out of 5 stars,2.0 out of 5 stars
7,I don't leave home without it! Simple to use and it is my partner when traveling!,,,,
8,,"Great and powerful tablet series for the price, always love them. Always love these, the power is great for the price, 80-100$ for 3 gb of ram on a tablet or 50$ for 2 gb such a good device on a lower ram model is still a steal. They read and browse great, and the extra money for ram really makes a huge difference playing all the games it could. If there's one complaint, sometimes i feel like the models are just a bit like 0.5-1 inch just too big to fit in a single hand or stretched jean comfortably like the fire 7 models were, but the screens are pretty good. They're great power for the price and good for reading or gaming though.",,,
9,,,,,"Not an hdx replacement, agreed with other reviewer I have two fires,  2013 hdx 8 and a kindle 7 in bright green and I love them both,  my nephew plays minecraft on it.  I watch Netflix and prime.  The design and the feel,  fit and finish were ahead of its time.  The battery is starting to not last (it's been 8 years! ) so I figured Amazon's latest and greatest 8 plus would be a no brainer.First thing, I take it out and the build quality feels lower,  less robust,  plasticky.  The next is the seven feels the same and it makes a plastic noise when you touch it.Third,  there's lag (yes I turned off all animation lag) when I scroll it takes a second to register before moving.Fourth,  maybe it was a glitch that doesn't happen often but I'm literally asking Alexa stuff and she's stops listening and turns off. I try again,  she does it again.  I have several echoes so I understand the quirks.Lastly echo on a tablet doesn't make your tablet do things.  Alexa,  open this app.  It's just an echo.Sad,  I'm a fanboy too.  I was at best buy and saw the new echo spheres and I think at this point Amazon is just trying to maximize profits (hopefully not with the drone or the new shows)  but the build quality isn't there.I think current adopters are fine because they didn't have the older models but if I let you borrow my hdx and even the 7, you'd be like why isn't it 10 times better after 8 years.Hopefully Amazon you wake up and do better"
0,,,Too many discovery pop ups Too many discovery items popping up! I paid for NO ads!,,
1,,"Excellent music-streaming device I got this to stream Spotify etc at work where the desktop application is blocked by firewall and the web player is underwhelming bitrate-wise (am an audiophile). I have no problem with the 720p screen quality or non-blazing performance when all it's doing most of the time is sitting there showing album art. Most crucially for me, it plug-and-played successfully with a 12 year old USB headphone amp/DAC, hooked up via a USB-C on the tablet with an adapter to an old-school USB / mini-USB cable. Another pleasing thing is that it works with any QI charger, of which I had an old unused one, so I can just set it down on the charger at the end of the day and NEVER have to worry about the battery even though I have the screen on and bright for hours a day.Fantastic value for the price for my usage scenario.",,,
2,,"Excellent Little Machine I have over time purchased several Kindles and have been very happy with them all. Screen clarity is excellent, switches from one Wi-Fi to another seamlessly, plenty of great apps although some freeze occasionally; buggy apps. The only thing I am not so happy with is the system sound quality. Definitely have to use headphones.",,,
3,,"Everything I wanted My son and daughter-in-law bought the tablet for me this past Christmas. I wanted something I could play games on, and read without difficulty. It fits what I wanted, perfectly! Touch screen that is perfect for interaction in games, screen quality is perfect for reading without making me have to strain my eyes. And I don’t have to stop every few minutes to charge. Love it! ❤️",,,
4,,"New Fire Plus so far about the same as previous generation I thought I would see a difference between the two models but they seem pretty much the same. Maybe I don't use it as intensively as some? Mainly use as media player and secondary screen for school. Battery life does not seem very superior. The shortened bezels gives the table a squat look, I prefer the longer previous model. Volume is not very loud (& volume booster apps make it sound distorted). Fire OS is about the same as always, still no real personalization or options. Cannot say this is a superior replacement for previous model, even with increase in RAM. Review I read puts this model on par with smartphone from 5 years ago.Still, I am not a tablet-intensive person & think it is a fair price for what you get. Wireless charging is a plus, even if charger was overpriced, it is one less wire to drag across the desk.",,,
5,,"Great tablet Bought this as an upgrade to my old kindle. Screen is a nice size, easy to carry and the battery has been impressive so far. Great product for the sale price of 59.00!",,,
6,,,,,"Harder To Like Than I Thought I bought this to replace a five year old fire HDX, which had started to have some battery issues.I knew going in this was not going to be the same as my Beloved HDX, but was willing to give it a try.Disappointed.  End of story.Why can't Amazon offer a higher end tablet with exceptional definition?This is ok, and cost about half what my HDX, cost but the experience is really half also.What I don't like other than the lower definition, 1. The tablet is thicker, and harder to hold on to for me.  2. The headphone jack port, is way down on the lower right hand corner edge.  The hdx, had the port right in the middle edge, affording me a place to place the jack shank in the webbing between thumb and forefinger of my right hand. I'm left handed so this was perfectly comfortable for my situation. Now I'm forced to grip the top corner of th fire which after a few minutes makes my hand go numb.The button to turn it on is on the edge also where before it was on the back on the opposite side .I know some of my complaints have to do with getting used to a new device with stuff in different positions , but it still irritates me that I can't get another HDX!!!!! Not to mention the ""full"" screen isn't really full screen.If I can't get used to this fire soon, I'm going to be looking at other brands of tablets, with better options and screen definition.The Only thing I like about this fire HD is the charging dock.  That is it.  Other than that I have nothing stellar to say.:/"
7,"Very Good Excellent unit for the price. Works well for podcasts.Cons: formatted microSD does not seem to be compatible with Microsoft. Not sure yet, still working on it.",,,,
8,,,,"Ads even without ads I have other tablets. I have an Echo and 4 dots.  I thought it'd be nice to get this, though I have an old Fire, for updated text-to-voice in the kindle app and to use it as a Show  on the docking station.  Well, the sound quality of those voices is worse  then on my 2013 Fire. The speakers are poor. And as for the Show mode- it constantly has messages about ""Alexa Skills"" scrolling across the bottom, totally ruins it.  If I want to know how to do something with Alexa I will look it up.  I thought it would be nice to  have a kind of central control of devices and music with weather, calendar, images -  but no, CONSTANTLY  pushes Alexa Skills.  Very, very tiresome. And you can't. get. rid. of. it.  Nothing in settings will get rid of it.  I even called customer support.  Even in the the Alexa app I can't make  this constant ad for Alexa skills  get out of the way of what I am trying to do. If you have an Echo- they're great.  If you have an ipad or Android tablet - They're great.  My 2013 Fire would have sufficed for text to voice. I wanted this as  a means to an end, not as an end.  Amazon and Alexa are  great services but they need to get over themselves.  I was quite enchanted with the Echo but now I'm sick of Alexa.  THIS TABLET is THE WORST for viewing recordings from my Blink cameras. and ""Live view not supported on this device!""  And ""Waiting for Blink"" (it never happened) I can view them on my other tablets - I use them as bird cams- clearly, smoothly, quickly. On the Fire 8+ they are worse than jerky slow-mo. This tablet is USELESS. AND VERY VERY difficult to navigate even though I am considered the techie among my friends.",
9,,"Bought it just for reading! I boughthis Tab just for reading Kindle Books!  Now it is my go to tablet. I use it for everything:  MC Office, games, recipes, movies, sports & so much more. Try it. You will like it!",,,
0,"All about my Kindle Used for playing word puzzles, reading books:  (can adjust the font size for my comfort)  and a little Face Book.",,,,
1,,Nothing I love my kindle! I don't care how many people leave bad reviews because this is my 5th kindle and my older ones still are working great!! I use the old ones at work in my medical clinic for the kids waiting to be seen. I have a regular tablet but always reach for my kindle instead. The battery on the 8 plus is pretty good but will drain quickly on standby. Other than that its great for the price and quality is as good as a regular tablet. One little thing is I wish I could download Google play store. All in all I recommend this to anyone looking for a tablet. If you love reading there are 1000s of free books to access. Outstanding product! Thank you Amazon!!!,,,
2,"Had high hopes for this gadget Its battery life is great. The screen, when in focus is really sharp. Reading books on this tablet is a pleasure. My problem was when reading our newspaper, as I get deeper into the paper, the page on the screen takes longer to come into focus, until sometimes I just give up and go to my laptop to read the rest. This did not happen with my old HDX.ANOTHER thing:  There used to be an app for reading my Outlook eMail and worked very well until it didn't - on my old HDX. when I spoke to support the rep was unable to help, and suggested I delete the app and reinstall it. Guess What - there is no app for Outlook any more.",,,,
3,,"Great value. Advise to get w charging stand. Great value & durable (if dropped). Id suggest a charging stand or not to use while charging — that was the Achilles heel with my prior kindles; the inside ports broke after a few years. This one is for my wife.I use for reading w audio sometimes, browsing net, movies and social media — Very happy. Battery life is great (quick recharge too).",,,
4,,,"It does what I got it for, not much else. The reason I got this tablet was so that I could watch Netflix and Disney+ on a bigger screen than my phone, since my television doesn't really do either very well.While this is technically an android tablet, it is first and foremost an Amazon tablet.  It is geared for your Amazon account, and it does this extremely well.  It's super easy to order books, and it is a great e-reader. Ordering stuff from Amazon is also streamlined.  Amazon Prime video does great on this well.You do not have access to the Google Play, and the apps you can download are rather limited.  Unsurprisingly, it does not support Barnes & Nobel's nook app, and since that was my first e-reader and I have over a hundred titles on that device, and I still order titles for the nook when it is cheaper than kindle, which happens on a regular basis.  What was surprising is that Duolingo is not supported.  I was hoping to be able to move my Duolingo activity to the tablet for the larger display and be able to free that space up on my phone but no dice.Still for $60,  and a 5 payment installment plan, I would get it again.",,
5,"Weird camera placement I love this device.  I picked it up because, as is usual with all kindle fires, my previous device was just slowing down too much.This fire is everything would would like with the usual fires but faster and a bigger memory.  The only complaint I have is that the camera is placed on what would be the top of it when it's horizontal.  When you turn it vertical the camera ends up on the side and if your not paying attention, gets covered by your hand while you're reading.  Which means that the brightness diminishes until you remove your thumb.  Easy enough to change the settings, but a pain because you normally forget.  Not a big deal, just an observation.",,,,
6,"Fire HD plus tablet I only use this tablet to basically play games on, but i do like it.",,,,
7,,"Bottom line... glad I updated Well, I finally received my ""advanced"" order about 1 month after its release. I won't do that again. No sense pre-ordering if you can't get it on release day. But this 10th gen, 2020 hd 8 plus fire is more pleasing than my previous version. Besides having a usb-c charging component, the battery lasts at least one full day after gaming, reading or using others apps. I couldn't do that previously. If I did, the charge would only last about 3 to 4 hours. It fully charges very, very quickly in comparison too. Very nice. Now if only AMZ would figure out how to put paperwhites anti glare screen on it. That would be the only fire update I'd consider making in the future... just as I'd only update my kindle paperwhite if it at least had a usb-c charger, and a color screen would be nice too.",,,
8,,"Portability with performance on a budget. The size and portability of this tablet is the main advantage over larger tablets. It performs well with single or a few concurrent applications. Over a smart phone sized screen it provides enhanced access to online entertainment/media, email , ebooks & documents etc.For full HD viewing the 10.1 inch model is available and sits on a desk nicely (with a good cradle) providing enhanced size visibility and clarity for details in documents, diagrams & photos over this 8 inch, although personally I have both tablets for the advantages of different uses portability and greater clarity where needed.For the price either the 8 or 10.1 is unbeatable  in performance and quality.",,,
9,,"A headline? Stupid Nice size and weight.  Has very good quality display and the touch screen work great.  Use it primarily for reading.  This is the third Kindle that I have had and they just keep getting better with each release.  Good value, can't go wrong.",,,
0,,Very Easy Very easy to use and set up. I was replacing an older model and the conversion from the older one was simple. I'm not good with electronics so that was important to me. My only complaint is that some of the navigation icons are too close to the bottom or sides of the screen so they get touched inadvertently. That's a pain when you have to get back to the screen you were on.,,,
1,"Great for the price, as advertised, fits my needs. Likes... screen size, battery life, ease of use.Dislikes... Wide border from screen to edge, a lot of preloaded apps I don't use or want.",,,,
2,Info regarding how to optimize use of the tablet would be very useful. Good battery life.,,,,
3,,,"Great for the price Great little tablet. Just be aware that with the latest update Amazon screwed up Google, if you plan to install Google launcher on it.I'm not sure where Amazon hire their IT but their launcher is an abomination. The ugliest thing in my opinion. And not having the ability to install different launcher and customize it to my needs, reduces the value of this tablet in half.",,
4,,Fastest tablet Yet I am a true Kindle fan. I have been a fan for years and this one is the best yet. The colors are great but the speed in which I use a lot for down loading books is the best yet.I belong to a book club and load alot of books so this is important. The fact that I can use a stand charger is great. The battery last all day for my reading which I do a lot.So yes this kindle is better than the last one.,,,
5,,,Lots of unwelcome changes to the new fire aspect ratio has changed making this fire wider than the previous versions.Not as book like imo.  Unless you buy the amazon case for this fire you will have a difficult time finding a case for it. Most aftermarket cases open left to right for some reason.  The camera is in the wrong place on the new fire it is now midway down the left side instead of the top. and often used controls have moved to the top of the fire. Also the charging wire has changed to a smaller plug,,
6,,"Kindle HD8 meets my needs I use my Kindle primarily for reading, but also listen to music and some games.  It is just a great device for passing time on long airplane trips - can watch movies, read books, or play some games - all in a small and compact device that is light and easy to carry in a backpack.",,,
7,I love it I like everything about it the quality and style,,,,
8,"Not compatible with Teledoc, otherwise great tablet! We bought this tablet specifically for my husbands weekly teledoc counseling sessions which he found difficult on the small screen of his smart phone).  We did not realize to use teledoc you must have Microsoft which is not on the Fire Tablet and I could not figure out how to download Microsoft either (even using some “Geek Squad” type website). Other than that we love the tablet.  It does everything (Except teledoc) which my much more expensive tablet does.  I’ve purchased Fire tablets in the past for my grandchildren (12, 11 & 4), they really stand up to the rough handling!",,,,
9,,,"My last amazon tablet - Too Quiet - Poor Video Play This is my third and last Kindle Fire. I loved my first two.What I use my tablet for mostly is to watch videos and listen to audio books.  This newer version seems to process the video differently in such a way that they seem blurry. Also, the audio is very muted. 50% on my older tablet is roughly 100% on my new one.I had to replace my 2 year old fire tablet because the software updates were using all of my onboard memory. The one software update I wanted was a functional Audible app. They don't seem to have this as a priority. The Audible app I got on my android phone 2 years ago is light years ahead of the current one on this tablet. Also many apps for amazon, such as the YouTube app, do not have the full functionality that I could get with a non-amazon tablet.This tablet is cheap, but it is not a good deal.",,
0,,,,,"Kindle ebook app crashes repeatedly I bought the Fire HD 8 for one reason only, and that's to read books on it. However, the Kindle app crashes and freezes repeatedly while I'm reading.I've tried rebooting the device but that didn't help. It's basically un-usable for my purpose. It's hard to believe that Amazon software running on Amazon hardware could be that bad, but it is. Why hasn't Amazon fixed the problems?"
1,,the screen is great I do my silver sneakers on the Kindle.  It is great without having to use my,,,
2,,"It’s a small powerhouse This is a great tablet for most anyone that is interested in basic web browsing, book reading, video and music streaming. For the money, you won’t find a better tablet. If I were to point out a downside, it would be the speakers but I wasn’t expecting concert quality sound… the audio is horrible… it’s good enough.",,,
3,,"Love it! Yes, it’s smaller than my fire had 10 7th edition that lasted only a few weeks over the 2 years I had it.  I had the warranty as well, but it was up as well.  Smaller display, but it is very clear, and very fast.  I got an additional micro as card, but, for now I am using my old one.  I also got the charging dock that is like an easel.  Love  it.  If you want a better one, but don’t want to go for the higher priced ones.  This is the only one that charges wirelessly!",,,
4,,,"The camera is really lame and the screen is not bright enough I wanted to use it to take pictures and wirelessly send them to my 4 x 6 photo printer. I wanted something bigger than a cellphone to preview the picture before printing it. The picture quality is equivalent to a Polaroid (for those that remember them.) The aspect ration is not 2:3 and it cannot be changed. So it's either add another step before printing to edit the photo or draw black lines on the screen. The screen doesn't get bright enough for use in the sun. This is what I get for using a book as a camera. I should have went with a refurbished iPad mini.  On the upside, it's the only way to watch video's from Amazon Prime offline. This and the long battery life makes road trips enjoyable. It's easier to use it to order stuff from Amazon compared to getting out the laptop or squinting at the cellphone. Since I can't install the YouTube app or Chrome, I would say the Kindle Fire is just an extension of Amazon's services and not much of anything else.",,
5,,"One tensy wrinkle Thru no fault of amazon, its an android glitchI had trouble connecting thru usb, until i read up on it thatyou have to enable developer mode and usb debuggingThen, set usb as the default media deviceAlls wellNext, i m trying to install the google play storeNo luck yetNeed to research and experiment with it more",,,
6,,Great value for a fast little tablet I already have a Fire tablet but it was getting so slow that I decided to try this one. I am so happy with the performance of this tablet with the addition GB of RAM for such a low price.,,,
7,"Font size will not go as large as I would like. I would like the font size larger.  When held horizontally, the screen splits into two ""pages"" instead of one page as my previous Kindle.",,,,
8,,Longer lasting battery than older Kindel. Great value!,,,
9,,,"First Device We Have Had Problems With Bought this for my wife for Christmas.  Gift...preset to our account...400G ""made for Amazon"" Sandisk micro SD card, and a good case.  After a few days, it quit working.  Keypad would not pop up when you tapped a cursor into any text box (like a search box, log in credentials, etc.).  More precisely, it would appear for the blink of an eye and then disappear.  Totally worthless!We called Amazon customer service, eventually got to Fire Tablet tech support, and he said she had to factor reset after she spent days customizing her new tablet.  Now she will spend a few more days putting it back together.  Merry Christmas from Jeff Bezos!  SMHWe have been Prime members for a decade and this is probably about the 15th Kindle/Fire TV/Fire Tablet we have purchased from Amazon.  It is the ONLY one we have had a problem with and it was THE most recommended and raved about.  So much for the hype.P.S.  Thanks to the tech support guy who actually fixed the problem.  It works fine now.",,
0,,"Recharges Quickly The Fire HD8+ is a great buy--got it on Black Friday.  Lots of storage for my books and games.  One thing, though.  If you have the previous version, Fire HD8, just know that you have to get a new case.  The one for your previous version won't fit.  The HD8+ is about 3/4"" shorter.  It's still 8"", but the screen doesn't have the black edge that the HD8 had.  You will love this Fire!",,,
1,,"Easy setup I was very surprised and pleased with the Fire Tablet and its setup. I am a Apple Ipad, Iphone, surface pro, etc.  So I was not sure if I could navigate the Fire Tablet.  It was very easy to setup.  Good information online to help. I was able to order a ""printed"" book for guidance, but have not had to use it yet.  I am so glad to have a printed guide book. So many are online only and you have to go back & forth.  I am totally pleased with the quality and clarity of the screen. The touch works great. And with just a couple of google searches was able to set up, download appls, and Google Play plus the Amazon apps.",,,
2,,So easy to use. I love my kindle.,,,
3,Works well Works well,,,,
4,,Very nice I don’t like the advertisement when I turn it on but other than that it’s fine,,,
5,"Setup was not so easy I like that they went to USB ""C"" as that is more compatible with other devices and more universal. The reason I gave it a 4 instead of a five is the setup. I went through 2 tablets as I never could get connected to my router using DHCP. I contacted tech support on the first tablet and they could not figure out what ws wrong and sent me another. I still had the issue. I got someone different at tech support and they figures out there was a problem that they were working on. Meantime the fix was to assign the tablet a static IP address and that worked. Other than that, it is a nice device.",,,,
6,,These keep.getting better and better I am so in love with my new kindle fire it is so much more responsive lots more cool features. There is so much to play with. This model has so much more space - because I love taking pics! If you like tech this is for you. They even habe certain models for kids too all 3 of my kids have theirs and love them! I'd give this 10 stars if I could!,,,
7,,,,"Do not waste your time or money I wanted to like this tablet, I truly did. Further, I never wanted to drop $800 on an iPad. I'm not a fan of the Apple ecosystem, but that's the route I need to go now.I purchased this tablet and when I received it I was shocked at how small it is...it's tiny. The next thing I found out, the speakers are all but useless. My phone is much, much louder.I wanted a Kindle that could read to me and that I could use for looking stuff up or planning routes from my hotel room when travelling. This is not that device. It also has some odd placement of icons that can't be changed. Oh, and even though I opted to pay extra for no advertising it kept throwing ads at me suggesting I should watch Prime videos, etc. NO, NO, NO!!! I don't want to...and even if I did, it is doubtful I would be able to hear or see anything on this, whatever it is supposed to be.. If the room is completely quiet and I aim the speakers right at me...I can sort of hear this one. My 2014 HDX has excellent sound and I can hear it fine, even with the shower running. The earlier device is also the same ""size"" class, but looks like a giant next to this thing.Did I mention that this thing is tiny? I don't even think it is the size of an iPad mini...it is crazy small.In the end I had to send it back. I truly hated it. I'm now going to cough up the money for an iPad Pro. I know I'll be a bit locked into their ecosystem, but it can't be as bad as this Kindle.I would also like to mention that if you are thinking of buying the wireless charging dock, don't. It has a proprietary wall wart (seriously, a wall wart in 2020) that takes up more than a standard plug of space. Why can't it be USB like everything else, then I can just plug it into my multi-charger I already have. I truly disliked everything about this setup.I would give it negative stars if I could.",
8,"Excellent budget tablet  Worth every penny grab one today Owned for 3 months  Great tablet for the price.  The battery life is amazing just turn the Wi-Fi off if you’re not using it, the standby time is OK.  Touching the screen feels smooth even with a screen protector on it, and my only real complaint is the screen resolution. I use an iPhone so I noticed immediately but it’s really not a big deal. The screen is bright enough and the speakers are OK so  overall I say this is a tablet for the people who don’t care for the fancy iPads and galaxy tablets.Oh yeah  Alexa (show mode) makes it even more worth it",,,,
9,,"Better than I thought I love this Fire tablet. Perfect size. After following some instructions on YouTube I was able to install Google Play, which gave me access to my other reading apps. Now I don't have to read on my phone anymore. Glad also that I got the wireless stand to go with it. Oh, having Alexa is an unexpected bonus. Completely satisfied.",,,
0,"Wrong choices. The new model moved the power switch from the right to the left next to the sound buttons. Stupid move.  It breaks habit for previous users and the new location has created issues when wrong buttons get hit.Second, the device dashboard button is in the worst possible location.  I manage to bring the dashboard up accidentally at least 6-7 times a day, usually more. In fact I brought it up while switching to numeric mode on the keyboard.One reason is the screen is very sensitive.",,,,
1,,"Pretty good I was leery about buying an Amazon tablet. Used an iPad for several years, but it became too old to download current apps. So it was time to replace it, but the iPads are pretty expensive. The good thing about them is they have the largest selection on apps. I was worried that I would not be able to get the apps I use on Amazon’s tablet. But I decided to try it because they had a good price for it on Prime Day. Happily I can report that most of the apps I use were available and there are good alternatives for the ones that weren’t there. So good so far!",,,
2,,"Worth 60$ It is exactly what i needed, and worth the price on sale, however the touch screen is definitely not as smooth as an ipad. Not even close. It really makes me appreciate my iphone more. But for 60$ it will work. Just wish it was a little smoother and user friendly. Overall, a decent product.",,,
3,,"Perfect for reading and checking things I read the reviews.  The HD 8Plus is a tablet for entertainment.  It is perfect for what I wanted in a tablet.  Specifically, I read the news on various apps.  I catch up on Facebook and Instagram.  I check my weather apps.  And I can search the web on Amazon Silk - their browser.  I have only one of my emails linked - the one with the newsletters - so I can keep up to date and catch up with past newsletters.  There is so much more yet that this thing can do, but for now its doing exactly what I bought it for.  Oh, the battery life is really good e.g...I only have to charge it about every 3 days.  This is a good product and Amazon really makes it easy.",,,
4,"Features are Great, But Sound Jack is Touchy Like most Fire tablets, the Fire HD 8 Plus doesn't disappoint.  Perfect size, great display, fast and responsive (might be the extra RAM?).  Only one issue so far, after a week of solid use, and it may not be an issue for everyone.I use wired earbuds with this tablet, and the sound jack seems poorly done.  The earbud jack was difficult to insert fully, and the connection once inserted seems to be unreliable; on one occasion, the sound was reduced by more than half and could not be restored without removing and reinserting the jack.  Possible faulty connection, but I will continue to evaluate.",,,,
5,,"Exceeded My Expectations I've been using Kindles for a while now, and a Fire tablet.  I upgraded my old HD 8 to the HD 8 Plus and other than relearning how to navigate the screens, I like it very much.  I particularly like that the model I have is a bit wider than the previous ones - I tend to like the screens on the square side, rather than rectangular.  The unit is light - I have the charcoal gray model - and I dropped an SD memory card into it so that I can expand the memory.  The screen is clear, crisp, and great for reading and watching videos.  Eventually, I'll turn on the Alexa function and use it.  I recommend this Fire tablet.",,,
6,,"For what it is, it's great. Most of the time I use an iPad Pro for my tablet needs.  I keep this in the bedroom, primarily to read Audible books to me.  For the price, it's fantastic. (I traded in an old Fire, got $10 and 20% off, less probably than I could have saved by waiting for a sale.) It's certainly faster than my old Fire, and seems generally to be a superior product.  It isn't very loud, even when turned up all the way, but it works with Bluetooth speakers/phones.  If you want to use regular old headphones  you may find the headphone jack to be a bit strange (it sits off center and makes it hard to insert some phones); I haven't been able to make that work yet, but maybe it's the earbuds rather than the Fire.",,,
7,,I had to replace an older water damaged Firetablet I bought this on the black Friday sale for an awesome price. My old fire tablet was great until it got water on it and the screen became non reactive. :(. It is actually a nice upgrade at a bargain price and does everything I needed it to. It beats the heck out of paying $200 plus to find anything else comparable.,,,
8,"Speedy Processor, Durable Battery LIfe Overall, this is a great product. I like the fast processor and the long battery life most of all. The screen quality is also very good. I bought this Kindle to replace my failing 2014 version and I must say that I miss that 8.9"" screen very much. The viewing experience at 8"" seems cramped, and after a week or so of using it I still notice that.  I like the ability to add storage via an SD card and plan to use the device to store photos offline. So yes, speed and battery life will win me over and maybe I'll come back and give it a fifth star.",,,,
9,"It is slippery, but works well This device is hard to keep hold of...the plastic covers has slipped out of my hands a number of times.  I finally bought a cover and that helps.  The device keeps a charge very well, has an excellent display. Also, it runs fast compared to my earlier kindle.  I DO wish that I had bought the 10 inch as it seems small to me, but that was my error. I would recommend  it with some hesitation due to its size and slippery case.",,,,
0,,,,"Worst Electronics Purchase Ever This table is miserable to use.  It is very slow and often unresponsive unless you have time to wait around for several minutes for simple functions like 'play this song' to be possible. The wifi is slow and the battery life is so-so. Even though the plastic case is thin and flimsy the device is heavy in the hand.  The buttons are poorly placed and very easy to accidentally press.  I purchased this device for one purpose: To connect to my stereo to use Amazon Music HD to stream music and store offline music on the tablet to play through the stereo. The device reportedly handles up to 1TB of added storage in the SD chip slot.  I added a 512GB SD chip of the fastest-rated SD chip I could find. I have not added much content to the chip, because the device is so cludgy it can't even really just stream music reliably.  It often takes forever to display an album, a songlist, list of songlists, or a song.  Very often once it shows the album, song or whatever.. the play button won't light up.  You may as well go put the tea kettle on to wait. So I can for sure say don't waste any money on an SD expansion chip.  The tablet's chipset and the 3 gigs of RAM simply can't handle it.  I think this tablet is best to read a book or have a toddler watch cartoons.  Also I paid extra to Amazon specifically to NOT display ads, however every day there's something new there added to the home screen which violates our agreement.  Very shifty and irritating. The apps in the amazon app store are not very good especially the browser. It will make you not want to browse the Internet.  I have read you can install the google app store to get better apps, like a decent browser, but the overall misery of using this device is such that I don't care to bother with that. On to craigslist now to sell this thing and try to forget about it.",
1,Value Good value at half price sale.  Would have preferred a color choice; Use a lot for reading and touch screen doesn't always respond to turn page; ads are annoying,,,,
2,"Does what I purchased it for, a bit slow processing Screen is ok processing a bit slow but works great for what I wanted it for.",,,,
3,Perfect for media consumption. So I bought this during the prime day sale. Not worth 109 but at half off I said why not. Made it look and feel how I wanted it. I use it to read some comic books and watch shows on in. A good little tablet to have next to might night stand and put on a show on Netflix before bed or watch some news.It’s no iPad but gets the job done with a few tweaks here and there.,,,,
4,,"Flawless This is my third or fourth kindle and far superior to previous versions.  Not too heavy, easy and intuitive to use and enjoyable for watching videos/movies.  I don't own a laptop and depend upon  my kindle for everything; this latest version is perfect.  Battery lasts for days yet recharges quickly.  My shows and movies play without interruptions. Email. News. Internet. Banking. Shopping.  Best yet, I used the trade-in program: received a discount on the new purchase plus received 2  gift cards for my 2 trade-ins (in exact amounts I was quoted!) plus the new device was on sale so the final price was about half of the regular price.  More than pleased.",,,
5,,,,,"Inferior and not worthy of a purchase. Under-powered and virtually useless. So slow out of the box, that is is virtually unusable. Wireless, Processor, Memory is all last generation or worse. Amazon app store only. Google Play Store is not included. This is not a bargain.  Hamstrung in hardware and software (and the addition of ads too, if you can believe that!) to the point of stupidity. Lousy in every respect.  If you give this as a gift to anyone, they will most assuredly hate you for being so cheap and stupid as to purchase this thing, and will disinherit you for giving it to them. Possibly, never speaking to you ever again. If that is your goal, you should purchase this a gift immediately for your mother-in-law.If, on the other hand, you value your relationship... do not buy this!If you hate yourself so badly to purchase it for yourself?  Congratulations: you have hit rock bottom. It can only get better from here."
6,"Veey good for the price This is am improved version of previous Fire Tablets. The sound is much better,  and it seems morw sturdy and compact.",,,,
7,,,,,"Disappointing performance I upgraded to this model for a variety of reasons, not the least of which was that my Kindle Fire 7 was slow to load, to download, and wifi performance was spotty.  With the upgraded RAM, and the new processors, I expected a good (not great) performance.  It turns out, my 3 year old Kindle Fire 7 is a powerhouse compared to this kindle.Wifi is abyssmal.  It loses the signal repeatedly; the wifi indicator shows different strengths in the notification bar and the settings menu; and while I can have full signal strength on any other device sitting next to the Kindle Fire (including new phone, laptop, desktop), this Kindle Fire sometimes cannot even find the same signal.Battery life - no better, if not slightly worse than previous models I have had.  about 4 hours or less of video, and about 6 hours of reading a book.  With brightness below 50%.Screen lag - OMG.  I cannot stand it.  Inside a book, the lag is less than ever.  That's the bright spot.  Opening an app, including an Amazon app - its better to put the device down and find something to do than stare at the screen waiting for it to load.  Ditto for downloads - although this may be due to the awful WiFI signal reception instead.  Its hard to tell.This feels like two steps back for the Kindle Fire.  And its too bad.  I'm excited to have USB-C finally.  I got the Kindle 10, and felt that there was a performance issue, but it wasn't my primary device, so I can live with it.  But this? no, this is poor performance.  Something is amiss in Kindle land."
8,,This is my 4th Kindle Fire and i love it. Love everything about it. I like the size. The touch screen is great and the battery life is the bomb. This is my 4th one and I love it.,,,
9,,Works well for my purposes This Fire tablet replaced the earlier version. I use it mainly for reading and travel when I don’t want to take my iPad. I like the feature that turns off the blue light.  My only complaint is the position of the wake/on-off button. It is in a different place than on the old 8.  I often hit the volume button instead.,,,
0,"pretty good affordable tablet for media or entertainment use if your looking for a affordable tablet for just media or entertainment use this will be perfect, the screen quality is pretty good its definitely not high quality like a galaxy tab, but if your using it just to watch youtube or watch tik tok or anything else similar i wouldn't see why it wouldn't be suited for such thing.  also good tablet to use for twitter or facebook or instagram, but i wouldn't recommend using the camera on this tablet for such apps lol, other than that it also has great battery life i've gotten more than 2-4 days of use before charge.",,,,
1,,"Good product, fair price. Just a reading tablet for books.",,,
2,,"A worthy upgrade from my previous Kindle. I am a long time Kindle owner going back to a gen 3 with keyboard. I reluctantly upgraded from that one after breaking the screen. This purchase was to replace a Kindle Fire with a messed up charge port which is why I chose the Fire HD 8 Plus with cordless charging. I have no regrets for this purchase. The screen is bright, the battery lasts longer and the charging dock is great. I have no problems recommending this to anyone. I haven't watched videos on it yet because we have really slow internet. This Kindle has the USB C port as an improvement over the micro-USB of the previous one. The only minor complaint is lack of color choice.",,,
